"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"UBE2Q2P2",10.2752847644698,-0.134686623304521,0.16357836052836,-0.823376777157329,0.410293764968682,0.577704147484479,"NS"
"HMGB1P1",101.769497184197,0.0895249041111586,0.0643510996433938,1.39119462771059,0.164166415901353,0.308090918399701,"NS"
"SRP14P1",4.40051483099131,0.101389987310231,0.138038734943229,0.734503886549889,0.462641692312474,0.625587435636617,"NS"
"HSPB1P1",586.128999855857,0.307392625702142,0.131424090886589,2.3389366715681,0.0193387112389684,0.0672632038482341,"NS"
"GTPBP6",658.292690443306,-0.380841133505362,0.0931851686374767,-4.08692862902861,4.37121516810429e-05,0.000702141813540804,"NS"
"EFCAB12",21.4621021998268,-0.469911183743019,0.189840732787503,-2.47529166603571,0.0133127406472208,0.0508939625144812,"NS"
"A1BG",115.651070757543,-0.863757268088001,0.156317781953591,-5.52564946414375,3.28268974247418e-08,2.00033795232688e-06,"NS"
"A1CF",61.7618842283643,-0.348238509539363,0.246279862258667,-1.41399506376859,0.157363351833946,0.299193057234362,"NS"
"A2LD1",131.096935978678,0.0311897308287425,0.112193924835478,0.277998393179305,0.781013592214311,0.870487257663584,"NS"
"A2M",16368.551106673,-0.0991233568177185,0.115987148384251,-0.854606378366462,0.392769095318467,0.559842272466337,"NS"
"A2ML1",274.990949823056,2.47986421476572,0.492251719819699,5.03779695411534,4.70920610406679e-07,1.81612018288143e-05,"Up in DECEASED"
"A4GALT",675.511885693888,0.165554897841581,0.145455206225925,1.1381847521115,0.255043344297958,0.418689978677275,"NS"
"A4GNT",90.5170999452781,-0.255806766943363,0.333927904607847,-0.766053879934874,0.443644243499259,0.609761947078556,"NS"
"AAAS",683.147007993919,-0.135138208101157,0.0583325330512803,-2.31668677892586,0.0205208002943223,0.07031774380014,"NS"
"AACS",1010.28102284954,-0.125745695692119,0.0881326625979756,-1.42677745100836,0.153644052718665,0.294475835538583,"NS"
"AADAC",231.518376054968,0.576570552337944,0.272343150873058,2.11707381107113,0.0342535839449811,0.101352016224281,"NS"
"AADAT",73.4994690309257,-0.232422462929977,0.113332133919187,-2.05080814145535,0.0402856344028142,0.114758096469703,"NS"
"AAGAB",1088.49143045971,0.0539168714444022,0.0614166950899068,0.877886238676214,0.380005457926045,0.546333623515337,"NS"
"AAK1",921.015369301785,-0.0660249811273597,0.0691753062920574,-0.954458818709135,0.339851445200035,0.508189354306192,"NS"
"AAMP",2878.40405851276,0.0937913070991286,0.0558458218005197,1.67946865271586,0.0930607432178851,0.207592379640418,"NS"
