"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RUNDC3A",379.83664295944,-2.78789656839026,0.307598579119275,-9.06342472833473,1.26417652477005e-19,2.16464946336376e-15
"APLP1",1798.14493018708,-2.49217975605499,0.280503795786278,-8.88465608484611,6.41188087073723e-19,5.48953180748168e-15
"CYP46A1",31.7510495678483,-2.01346855275218,0.235303733780162,-8.55689164130862,1.159514262884e-17,4.50745154239699e-14
"MSI1",118.347046372026,-1.92894695686991,0.225971620604064,-8.53623544281124,1.38665661907289e-17,4.50745154239699e-14
"PART1",43.928893573894,-2.96898064425586,0.348423887634431,-8.52117420654846,1.57943755500683e-17,4.50745154239699e-14
"PDZD4",262.668582098808,-1.65979439444328,0.193445452431798,-8.58016755409882,9.47350438091638e-18,4.50745154239699e-14
"TMEM145",36.026958378486,-2.45341950997524,0.292217253112428,-8.39587493155754,4.62437675645259e-17,1.13118861715339e-13
"REEP2",254.038696519065,-1.94632660254513,0.234638663227476,-8.29499527389576,1.08589522528975e-16,2.32422299282955e-13
"SPTBN4",170.194105187853,-2.16147646168093,0.262931457910135,-8.22068412376764,2.02345570278841e-16,3.84973688876066e-13
"SLC12A5",21.2312714134677,-2.28418756266414,0.278288791380881,-8.20797543203195,2.24949225969247e-16,3.85180559627141e-13
"C6orf58",48.0300790364585,-4.20356986073313,0.519173599505669,-8.09665565571046,5.64906820937503e-16,8.79354499537534e-13
"LOC728392",684.40725856848,-1.65724271469897,0.209632361522315,-7.90547176334965,2.66920772558272e-15,3.80873699042941e-12
"FBLL1",55.8783599938909,-2.0612698807746,0.262575068932166,-7.85021170957823,4.15335550389836e-15,5.47060817640397e-12
"FAM5B",6.91193274783834,-2.35451439043943,0.300695563355358,-7.83022657257131,4.86991544147729e-15,5.95625443602968e-12
"HCN2",52.4915119480144,-1.73158837719553,0.223842458863589,-7.73574587228229,1.02798621352976e-14,1.17348052895134e-11
"CDK5R2",152.537939110721,-2.22018386079269,0.289238635136216,-7.67595884881388,1.64185832747918e-14,1.47966000744347e-11
"MGC42105",29.9266261188511,-1.71034010234931,0.222667436383473,-7.68114157206084,1.57677107007442e-14,1.47966000744347e-11
"PCSK1N",1897.23814423775,-2.44963119270307,0.318700367407798,-7.68631430402026,1.51434218206189e-14,1.47966000744347e-11
"SYP",522.540373840723,-2.11460091800787,0.274761250843186,-7.69613950845905,1.40238694117217e-14,1.47966000744347e-11
"ATP6V0E2-AS1",53.5371456656532,-1.47046503817482,0.192803212599821,-7.62676626777427,2.40715450463046e-14,2.06088532913937e-11
"C7orf51",92.3223380512962,-1.59154294982074,0.208998337877945,-7.61509859829699,2.63490252439603e-14,2.14844932977301e-11
"ATP2B1-AS1",48.1936347426837,-1.21129945898676,0.160664762714401,-7.53929759408403,4.7250956874988e-14,3.677627884411e-11
"CASKIN1",17.5349860315111,-2.16135367837722,0.287399885828425,-7.5203706923792,5.46211517033132e-14,4.01897712032328e-11
"TCEAL2",185.678857346271,-2.24056230328872,0.298092195576697,-7.51634003350563,5.63309296780697e-14,4.01897712032328e-11
"SRRM4",3.71311395518615,-2.80382923117112,0.373631213545254,-7.50426926210628,6.17722138334192e-14,4.23090246987855e-11
"TCEAL5",55.2759995904878,-1.68694402568345,0.226390284670382,-7.45148595108486,9.22947222358359e-14,6.07831741863161e-11
"PEMT",441.664762485527,-1.26816425104855,0.17032033166768,-7.4457596379211,9.63881607480566e-14,6.11279435736657e-11
"TMEM63C",307.81091010647,-2.43241268352388,0.327522523507083,-7.42670353622649,1.11337519558082e-13,6.80868695497512e-11
"DIRAS1",133.634149376005,-1.68599163614916,0.227832041346341,-7.40015155983344,1.36029152644985e-13,7.98850435250603e-11
"SYT3",19.228343369446,-1.67177846480421,0.226026978615589,-7.39636690736575,1.39960947599825e-13,7.98850435250603e-11
"PCDHA1",32.4780013665061,-2.09828415296852,0.285914190287039,-7.33885978468567,2.15421144841243e-13,1.15270508222394e-10
"CAMK2B",283.863097257605,-2.30975534972941,0.314912641723397,-7.3345907521813,2.22400023600078e-13,1.15398654669822e-10
"ACSL6",27.8815895307454,-1.89467875315706,0.258789893013042,-7.32130119572165,2.45577939666988e-13,1.21997049651112e-10
"RND2",52.9517881783331,-1.37127584006542,0.187352036632723,-7.31924704268686,2.4936615883834e-13,1.21997049651112e-10
"GAST",25.183420097373,-4.55584570791793,0.627326182457942,-7.26232354923806,3.80496706331275e-13,1.80485010580602e-10
"JPH3",71.4607876133008,-1.79363474606309,0.247091588265078,-7.25898748175472,3.8999856283842e-13,1.80485010580602e-10
"CELF3",384.59318520122,-2.46713406004599,0.342264737643534,-7.20826246090092,5.66703223332871e-13,2.49515232879471e-10
"SEZ6",48.9250012491312,-2.28570086293571,0.317111483932137,-7.20787791912594,5.68305441937708e-13,2.49515232879471e-10
"LRRC10B",103.098965638059,-1.83169544635612,0.254311074324287,-7.20257838249081,5.90844560018618e-13,2.5292578502997e-10
"MPP2",180.526291366016,-1.5513631652521,0.215623735085939,-7.19476992935767,6.25661740267079e-13,2.61297706794956e-10
"FAM57B",15.4886543701843,-1.94489906048872,0.270742498030234,-7.18357507461401,6.79117161409773e-13,2.76869598924275e-10
"BAI3",35.395776337786,-1.85343601085182,0.258452616270182,-7.17127974016819,7.42999039220521e-13,2.95869129036581e-10
"MAST1",55.6634510750827,-1.7667940508594,0.248409044647054,-7.1124384918017,1.14010351919174e-12,4.43681649070913e-10
"GPR162",151.306237637054,-1.2399018946817,0.174599582685818,-7.10140239517544,1.23497216994358e-12,4.66188790047051e-10
"KHDRBS2",3.77991794120112,-2.49133107779774,0.350918050993456,-7.09946687195124,1.25239060574458e-12,4.66188790047051e-10
"LRRC4B",56.8306328297437,-1.40297098697062,0.19786197115973,-7.09065505992572,1.33478665011003e-12,4.86288336379447e-10
"FAM69B",225.915698903973,-1.1318771804627,0.159906842976285,-7.07835361761576,1.4587710252316e-12,5.20386172188348e-10
"DUSP26",202.842969149906,-2.003022048097,0.283103740543101,-7.07522282911006,1.49208806333017e-12,5.21408651191889e-10
"LRRC16B",46.3868723244872,-1.49807101934786,0.212030403538727,-7.06535946895106,1.60200739701899e-12,5.48623453183125e-10
"TTLL6",78.4058155849528,-1.7718627258323,0.251610667815174,-7.04208108987596,1.89389546671107e-12,6.35866119146933e-10
